name,mana_cost,cmc,type_line,power,toughness,colors,color_identity,produced_mana
Smash to Smithereens,{1}{R},2.0,Instant,,,['R'],['R'],
Acrobatic Maneuver,{2}{W},3.0,Instant,,,['W'],['W'],
"Rakdos, the Showstopper",{4}{B}{R},6.0,Legendary Creature — Demon,6,6,"['B', 'R']","['B', 'R']",
Reassembling Skeleton,{1}{B},2.0,Creature — Skeleton Warrior,1,1,['B'],['B'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Crop Rotation,{G},1.0,Instant,,,['G'],['G'],
Shattering Spree,{R},1.0,Sorcery,,,['R'],['R'],
Fireslinger,{1}{R},2.0,Creature — Human Wizard,1,1,['R'],['R'],
Flowstone Shambler,{2}{R},3.0,Creature — Beast,2,2,['R'],['R'],
Cloudreach Cavalry,{1}{W},2.0,Creature — Human Soldier,1,1,['W'],['W'],
Makeshift Munitions,{1}{R},2.0,Enchantment,,,['R'],['R'],
Myr,,0.0,Token Artifact Creature — Myr,2,1,['U'],['U'],
Primal Empathy,{1}{G}{U},3.0,Enchantment,,,"['G', 'U']","['G', 'U']",
Tectonic Reformation,{1}{R},2.0,Enchantment,,,['R'],['R'],
Lumengrid Augur,{3}{U},4.0,Creature — Vedalken Wizard,2,2,['U'],['U'],
Goblin King,{1}{R}{R},3.0,Creature — Goblin,2,2,['R'],['R'],
Sylvan Basilisk,{3}{G}{G},5.0,Creature — Basilisk,2,4,['G'],['G'],
Raging Goblin,{R},1.0,Creature — Goblin Berserker,1,1,['R'],['R'],
Invigorate,{2}{G},3.0,Instant,,,['G'],['G'],
Hypergenesis,,0.0,Sorcery,,,['G'],['G'],
Sorceress Queen,{1}{B}{B},3.0,Creature — Human Wizard,1,1,['B'],['B'],
Setessan Champion,{2}{G},3.0,Creature — Human Warrior,1,3,['G'],['G'],
Keening Apparition,{1}{W},2.0,Creature — Spirit,2,2,['W'],['W'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Draconic Intervention,{2}{R}{R},4.0,Sorcery,,,['R'],['R'],
Hightide Hermit,{4}{U},5.0,Creature — Crab,4,4,['U'],['U'],
Zombie,,0.0,Token Creature — Zombie,2,2,['B'],['B'],
Nimble Obstructionist,{2}{U},3.0,Creature — Bird Wizard,3,1,['U'],['U'],
Wishcoin Crab,{3}{U},4.0,Creature — Crab,2,5,['U'],['U'],
Blue Elemental Blast,{U},1.0,Instant,,,['U'],['U'],
Show of Confidence,{1}{W},2.0,Instant,,,['W'],['W'],
Drake,,0.0,Token Creature — Drake,2,2,['U'],['U'],
Exalted Angel,{4}{W}{W},6.0,Creature — Angel,4,5,['W'],['W'],
Vivid Creek,,0.0,Land,,,[],['U'],"['B', 'G', 'R', 'U', 'W']"
Sharuum the Hegemon,{3}{W}{U}{B},6.0,Legendary Artifact Creature — Sphinx,5,5,"['B', 'U', 'W']","['B', 'U', 'W']",
Serra Angel,{3}{W}{W},5.0,Creature — Angel,4,4,['W'],['W'],
"Vadrok, Apex of Thunder",{U}{R}{W},3.0,Legendary Creature — Elemental Dinosaur Cat,3,3,"['R', 'U', 'W']","['R', 'U', 'W']",
Sporecrown Thallid,{1}{G},2.0,Creature — Fungus,2,2,['G'],['G'],
Feast of Blood,{1}{B},2.0,Sorcery,,,['B'],['B'],
Jhoira of the Ghitu,{1}{U}{R},3.0,Legendary Creature — Human Wizard,2,2,"['R', 'U']","['R', 'U']",
Midnight Clock,{2}{U},3.0,Artifact,,,['U'],['U'],['U']
Dragonsguard Elite,{1}{G},2.0,Creature — Human Druid,2,2,['G'],['G'],
Font of Fertility,{G},1.0,Enchantment,,,['G'],['G'],
Ray of Revelation,{1}{W},2.0,Instant,,,['W'],"['G', 'W']",
Marsh Flats,,0.0,Land,,,[],[],
Jade Monolith,{4},4.0,Artifact,,,[],[],
Divine Transformation,{2}{W}{W},4.0,Enchantment — Aura,,,['W'],['W'],
Knowledge Vault,{4},4.0,Artifact,,,[],[],
Containment Priest,{1}{W},2.0,Creature — Human Cleric,2,2,['W'],['W'],
Fairgrounds Trumpeter,{2}{G},3.0,Creature — Elephant,2,2,['G'],['G'],
Elfhame Palace,,0.0,Land,,,[],"['G', 'W']","['G', 'W']"
"Vito, Thorn of the Dusk Rose",{2}{B},3.0,Legendary Creature — Vampire Cleric,1,3,['B'],['B'],
Valorous Stance,{1}{W},2.0,Instant,,,['W'],['W'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Blackblade Reforged,{2},2.0,Legendary Artifact — Equipment,,,[],[],
Nightmare,{5}{B},6.0,Creature — Nightmare Horse,*,*,['B'],['B'],
Tendrils of Agony,{2}{B}{B},4.0,Sorcery,,,['B'],['B'],
Genesis Hydra,{X}{G}{G},2.0,Creature — Plant Hydra,0,0,['G'],['G'],
Earth Elemental,{3}{R}{R},5.0,Creature — Elemental,4,5,['R'],['R'],
Orc General,{2}{R},3.0,Creature — Orc Warrior,2,2,['R'],['R'],
Snow-Covered Swamp,,0.0,Basic Snow Land — Swamp,,,[],['B'],['B']
Angrath's Marauders,{5}{R}{R},7.0,Creature — Human Pirate,4,4,['R'],['R'],
Tarfire,{R},1.0,Tribal Instant — Goblin,,,['R'],['R'],
Rubinia Soulsinger,{2}{G}{W}{U},5.0,Legendary Creature — Faerie,2,3,"['G', 'U', 'W']","['G', 'U', 'W']",
Fathom Fleet Cutthroat,{3}{B},4.0,Creature — Human Pirate,3,3,['B'],['B'],
Regal Bloodlord,{3}{W}{B},5.0,Creature — Vampire Soldier,2,4,"['B', 'W']","['B', 'W']",
Wall of Spears,{3},3.0,Artifact Creature — Wall,2,3,[],[],
Wall of Frost,{1}{U}{U},3.0,Creature — Wall,0,7,['U'],['U'],
Tawnos's Weaponry,{2},2.0,Artifact,,,[],[],
Worms of the Earth,{2}{B}{B}{B},5.0,Enchantment,,,['B'],['B'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Jackal Pup,{R},1.0,Creature — Jackal,2,1,['R'],['R'],
Mudslide,{2}{R},3.0,Enchantment,,,['R'],['R'],
Aegis Angel,{4}{W}{W},6.0,Creature — Angel,5,5,['W'],['W'],
Rush of Knowledge,{4}{U},5.0,Sorcery,,,['U'],['U'],
Unsummon,{U},1.0,Instant,,,['U'],['U'],
Ineffable Blessing,{1}{G},2.0,Enchantment,,,['G'],['G'],
Falkenrath Noble,{3}{B},4.0,Creature — Vampire Noble,2,2,['B'],['B'],
Bant Charm,{G}{W}{U},3.0,Instant,,,"['G', 'U', 'W']","['G', 'U', 'W']",
Thoughtseize,{B},1.0,Sorcery,,,['B'],['B'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Divination,{2}{U},3.0,Sorcery,,,['U'],['U'],
Season of Growth,{1}{G},2.0,Enchantment,,,['G'],['G'],
Sanctum of Serra,,0.0,Plane — Serra’s Realm,,,[],[],
Azorius Guildgate,,0.0,Land — Gate,,,[],"['U', 'W']","['U', 'W']"
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
"Eligeth, Crossroads Augur",{4}{U}{U},6.0,Legendary Creature — Sphinx,5,6,['U'],['U'],
Pride of Lions,{3}{G}{G},5.0,Creature — Cat,4,4,['G'],['G'],
Desert Twister,{4}{G}{G},6.0,Sorcery,,,['G'],['G'],
Evil Eye of Orms-by-Gore,{4}{B},5.0,Creature — Eye,3,6,['B'],['B'],
Joraga Invocation,{4}{G}{G},6.0,Sorcery,,,['G'],['G'],
Mist-Syndicate Naga,{2}{U},3.0,Creature — Naga Ninja,3,1,['U'],['U'],
Izzet Guildgate,,0.0,Land — Gate,,,[],"['R', 'U']","['R', 'U']"
Channel,{G}{G},2.0,Sorcery,,,['G'],['G'],['C']
"Yisan, the Wanderer Bard",{2}{G},3.0,Legendary Creature — Human Rogue Bard,2,3,['G'],['G'],
Sandbar Merfolk,{U},1.0,Creature — Merfolk,1,1,['U'],['U'],
No Rest for the Wicked,{1}{B},2.0,Enchantment,,,['B'],['B'],
Chandra's Outrage,{2}{R}{R},4.0,Instant,,,['R'],['R'],
Sejiri Refuge,,0.0,Land,,,[],"['U', 'W']","['U', 'W']"
Sift,{3}{U},4.0,Sorcery,,,['U'],['U'],
Dread Wight,{3}{B}{B},5.0,Creature — Zombie,3,4,['B'],['B'],
Great Oak Guardian,{5}{G},6.0,Creature — Treefolk,4,5,['G'],['G'],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
Alluring Scent,{1}{G}{G},3.0,Sorcery,,,['G'],['G'],
Joraga Auxiliary,{1}{G}{W},3.0,Creature — Elf Soldier Ally,2,3,"['G', 'W']","['G', 'W']",
Darkmoss Bridge // Darkmoss Bridge,,0.0,Card // Card,,,,[],
Fyndhorn Bow,{2},2.0,Artifact,,,[],[],
"Jareth, Leonine Titan",{3}{W}{W}{W},6.0,Legendary Creature — Cat Giant,4,7,['W'],['W'],
Dromosaur,{2}{R},3.0,Creature — Dinosaur,2,3,['R'],['R'],
False Orders,{R},1.0,Instant,,,['R'],['R'],
Unexpected Results,{2}{G}{U},4.0,Sorcery,,,"['G', 'U']","['G', 'U']",
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Scapeshift,{2}{G}{G},4.0,Sorcery,,,['G'],['G'],
Island,,0.0,Basic Land — Island,,,[],['U'],['U']
Thunder Dragon,{5}{R}{R},7.0,Creature — Dragon,5,5,['R'],['R'],
Simic Guildgate,,0.0,Land — Gate,,,[],"['G', 'U']","['G', 'U']"
Gray Ogre,{2}{R},3.0,Creature — Ogre,2,2,['R'],['R'],
Baloth Woodcrasher,{4}{G}{G},6.0,Creature — Beast,4,4,['G'],['G'],
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Hellkite Whelp,{4}{R},5.0,Creature — Dragon,3,3,['R'],['R'],
Eliminate,{1}{B},2.0,Instant,,,['B'],['B'],
Elvish Visionary,{1}{G},2.0,Creature — Elf Shaman,1,1,['G'],['G'],
Faith's Shield,{W},1.0,Instant,,,['W'],['W'],
Dingus Egg,{4},4.0,Artifact,,,[],[],
Slaughter Cry,{2}{R},3.0,Instant,,,['R'],['R'],
Champion of Wits,,0.0,Token Creature — Zombie Naga Wizard,4,4,['B'],['B'],
Wing Shards,{1}{W}{W},3.0,Instant,,,['W'],['W'],
Noble Elephant,{3}{W},4.0,Creature — Elephant,2,2,['W'],['W'],
Glasses of Urza,{1},1.0,Artifact,,,[],[],
Grasslands,,0.0,Land,,,[],[],
The Atropal,,0.0,Token Legendary Creature — God Horror,4,4,['B'],['B'],
Runed Halo,{W}{W},2.0,Enchantment,,,['W'],['W'],
Mox Amber,{0},0.0,Legendary Artifact,,,[],[],"['B', 'G', 'R', 'U', 'W']"
Elemental,,0.0,Token Creature — Elemental,5,5,"['R', 'U']","['R', 'U']",
Wall of Wood,{G},1.0,Creature — Wall,0,3,['G'],['G'],
Simic Initiate,{G},1.0,Creature — Human Mutant,0,0,['G'],['G'],
Hanweir Lancer,{2}{R},3.0,Creature — Human Knight,2,2,['R'],['R'],
Hellrider,{2}{R}{R},4.0,Creature — Devil,3,3,['R'],['R'],
Ophidian,{2}{U},3.0,Creature — Snake,1,3,['U'],['U'],
Undercity Shade,{4}{B},5.0,Creature — Shade,1,1,['B'],['B'],
Necrite,{1}{B}{B},3.0,Creature — Thrull,2,2,['B'],['B'],
Bounding Krasis,{1}{G}{U},3.0,Creature — Fish Lizard,3,3,"['G', 'U']","['G', 'U']",
Dakmor Lancer,{4}{B}{B},6.0,Creature — Human Knight,3,3,['B'],['B'],
Terramorphic Expanse,,0.0,Land,,,[],[],
Goblin Lore,{1}{R},2.0,Sorcery,,,['R'],['R'],
Rise Again,{4}{B},5.0,Sorcery,,,['B'],['B'],
Fire Elemental,{3}{R}{R},5.0,Creature — Elemental,5,4,['R'],['R'],
White Knight,{W}{W},2.0,Creature — Human Knight,2,2,['W'],['W'],
Fatigue,{1}{U},2.0,Sorcery,,,['U'],['U'],
Snowfield Sinkhole,,0.0,Snow Land — Plains Swamp,,,[],"['B', 'W']","['B', 'W']"
Howling Mine,{2},2.0,Artifact,,,[],[],
Roil Elemental,{3}{U}{U}{U},6.0,Creature — Elemental,3,2,['U'],['U'],
Key to the City,{2},2.0,Artifact,,,[],[],
Wurmweaver Coil,{4}{G}{G},6.0,Enchantment — Aura,,,['G'],['G'],
Curse of Opulence,{R},1.0,Enchantment — Aura Curse,,,['R'],['R'],"['B', 'G', 'R', 'U', 'W']"
Seer's Lantern,{3},3.0,Artifact,,,[],[],['C']
Empyrial Armor,{1}{W}{W},3.0,Enchantment — Aura,,,['W'],['W'],
Cogwork Spy,{3},3.0,Artifact Creature — Bird Construct,2,1,[],[],
Black Vise,{1},1.0,Artifact,,,[],[],
Rock,,0.0,Token Artifact — Equipment,,,[],[],
Intervention of Keranos,,0.0,Sorcery,,,[],[],
Ajani Goldmane,{2}{W}{W},4.0,Legendary Planeswalker — Ajani,,,['W'],['W'],
Rain of Salt,{4}{R}{R},6.0,Sorcery,,,['R'],['R'],
Moonlight Bargain,{3}{B}{B},5.0,Instant,,,['B'],['B'],
Maelstrom Archangel,{W}{U}{B}{R}{G},5.0,Creature — Angel,5,5,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",
Sacred Mesa,{2}{W},3.0,Enchantment,,,['W'],['W'],
Kormus Bell,{4},4.0,Artifact,,,[],[],
Gwyllion Hedge-Mage,{2}{W/B},3.0,Creature — Hag Wizard,2,2,"['B', 'W']","['B', 'W']",
Abu Ja'far,{W},1.0,Creature — Human,0,1,['W'],['W'],
Disrupt,{U},1.0,Instant,,,['U'],['U'],
Enigma Drake,{1}{U}{R},3.0,Creature — Drake,*,4,"['R', 'U']","['R', 'U']",
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Sakura-Tribe Elder,{1}{G},2.0,Creature — Snake Shaman,1,1,['G'],['G'],
Garth One-Eye,{W}{U}{B}{R}{G},5.0,Legendary Creature — Human Wizard,5,5,"['B', 'G', 'R', 'U', 'W']","['B', 'G', 'R', 'U', 'W']",
Power Sink,{X}{U},1.0,Instant,,,['U'],['U'],
Zephyr Falcon,{1}{U},2.0,Creature — Bird,1,1,['U'],['U'],
Razorfoot Griffin,{3}{W},4.0,Creature — Griffin,2,2,['W'],['W'],
Balduvian Bears,{1}{G},2.0,Creature — Bear,2,2,['G'],['G'],
Illusory Angel,{2}{U},3.0,Creature — Angel Illusion,4,4,['U'],['U'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Finale of Revelation,{X}{U}{U},2.0,Sorcery,,,['U'],['U'],
Orzhov Pontiff,{1}{W}{B},3.0,Creature — Human Cleric,1,1,"['B', 'W']","['B', 'W']",
Late to Dinner,{3}{W},4.0,Sorcery,,,['W'],['W'],
Nissa's Chosen,{G}{G},2.0,Creature — Elf Warrior,2,3,['G'],['G'],
Kjeldoran Royal Guard,{3}{W}{W},5.0,Creature — Human Soldier,2,5,['W'],['W'],
Plains,,0.0,Basic Land — Plains,,,[],['W'],['W']
Jeskai Windscout,{2}{U},3.0,Creature — Bird Scout,2,1,['U'],['U'],
Liar's Pendulum,{1},1.0,Artifact,,,[],[],
Mountain,,0.0,Basic Land — Mountain,,,[],['R'],['R']
"Anya, Merciless Angel",{3}{R}{W},5.0,Legendary Creature — Angel,4,4,"['R', 'W']","['R', 'W']",
Earnest Fellowship,{1}{W},2.0,Enchantment,,,['W'],['W'],
Hushbringer,{1}{W},2.0,Creature — Faerie,1,2,['W'],['W'],
Wring Flesh,{B},1.0,Instant,,,['B'],['B'],
Outflank,{W},1.0,Instant,,,['W'],['W'],
Imperious Perfect,{2}{G},3.0,Creature — Elf Warrior,2,2,['G'],['G'],
Psionic Entity,{4}{U},5.0,Creature — Illusion,2,2,['U'],['U'],
Tomb Robber,{2}{B},3.0,Creature — Human Pirate,1,1,['B'],['B'],
Vivid Grove,,0.0,Land,,,[],['G'],"['B', 'G', 'R', 'U', 'W']"
Boulderfall,{6}{R}{R},8.0,Instant,,,['R'],['R'],
Geomancer's Gambit,{2}{R},3.0,Sorcery,,,['R'],['R'],
Flowstone Slide,{X}{2}{R}{R},4.0,Sorcery,,,['R'],['R'],
Brushstrider,{1}{G},2.0,Creature — Beast,3,1,['G'],['G'],
Wall of Caltrops,{1}{W},2.0,Creature — Wall,2,1,['W'],['W'],
Animate Artifact,{3}{U},4.0,Enchantment — Aura,,,['U'],['U'],
"Selenia, Dark Angel",{3}{W}{B},5.0,Legendary Creature — Phyrexian Angel,3,3,"['B', 'W']","['B', 'W']",
Beast,,0.0,Token Creature — Beast,3,3,['G'],['G'],
Fiery Cannonade,{2}{R},3.0,Instant,,,['R'],['R'],
Pouncing Jaguar,{G},1.0,Creature — Cat,2,2,['G'],['G'],
Wrath of God,{2}{W}{W},4.0,Sorcery,,,['W'],['W'],
Embermaw Hellion,{3}{R}{R},5.0,Creature — Hellion,4,5,['R'],['R'],
Peach Garden Oath,{W},1.0,Sorcery,,,['W'],['W'],
Sylvan Safekeeper,{G},1.0,Creature — Human Wizard,1,1,['G'],['G'],
Academy Raider,{2}{R},3.0,Creature — Human Warrior,1,1,['R'],['R'],
Azure Drake,{3}{U},4.0,Creature — Drake,2,4,['U'],['U'],
Skeletal Scrying,{X}{B},1.0,Instant,,,['B'],['B'],
Penumbra Spider,{2}{G}{G},4.0,Creature — Spider,2,4,['G'],['G'],
"Thrasta, Tempest's Roar",{10}{G}{G},12.0,Legendary Creature — Dinosaur,7,7,['G'],['G'],
"Varragoth, Bloodsky Sire",{2}{B},3.0,Legendary Creature — Demon Rogue,2,3,['B'],['B'],
Saberclaw Golem,{5},5.0,Artifact Creature — Golem,4,2,[],['R'],
Citadel of Pain,{2}{R},3.0,Enchantment,,,['R'],['R'],
Daggerback Basilisk,{2}{G},3.0,Creature — Basilisk,2,2,['G'],['G'],
Tainted Field,,0.0,Land,,,[],"['B', 'W']","['B', 'C', 'W']"
Shadrix Silverquill,{3}{W}{B},5.0,Legendary Creature — Elder Dragon,2,5,"['B', 'W']","['B', 'W']",
Ghost Ship,{2}{U}{U},4.0,Creature — Spirit,2,4,['U'],['U'],
Clash of Wills,{X}{U},1.0,Instant,,,['U'],['U'],
Crackling Doom,{R}{W}{B},3.0,Instant,,,"['B', 'R', 'W']","['B', 'R', 'W']",
Enlisted Wurm,{4}{G}{W},6.0,Creature — Wurm,5,5,"['G', 'W']","['G', 'W']",
Tempered Steel,{1}{W}{W},3.0,Enchantment,,,['W'],['W'],
Peace Strider,{4},4.0,Artifact Creature — Construct,3,3,[],[],
Death Pits of Rath,{3}{B}{B},5.0,Enchantment,,,['B'],['B'],
Volcanic Eruption,{X}{U}{U}{U},3.0,Sorcery,,,['U'],['U'],
Seafarer's Quay,,0.0,Land,,,[],[],
Primal Growth,{2}{G},3.0,Sorcery,,,['G'],['G'],
Unholy Strength,{B},1.0,Enchantment — Aura,,,['B'],['B'],
Death's Duet,{2}{B},3.0,Sorcery,,,['B'],['B'],
Nature's Spiral,{1}{G},2.0,Sorcery,,,['G'],['G'],
Soul Exchange,{B}{B},2.0,Sorcery,,,['B'],['B'],
Brothers of Fire,{1}{R}{R},3.0,Creature — Human Shaman,2,2,['R'],['R'],
Goblin Artisans,{R},1.0,Creature — Goblin Artificer,1,1,['R'],['R'],
Nature's Claim,{G},1.0,Instant,,,['G'],['G'],
Oketra's Last Mercy,{1}{W}{W},3.0,Sorcery,,,['W'],['W'],
Viridian Harvest,{G},1.0,Enchantment — Aura,,,['G'],['G'],
Exhaustion,{2}{U},3.0,Sorcery,,,['U'],['U'],
Izzet Boilerworks,,0.0,Land,,,[],"['R', 'U']","['R', 'U']"
Dwarven Weaponsmith,{1}{R},2.0,Creature — Dwarf Artificer,1,1,['R'],['R'],
Breaking // Entering,{U}{B} // {4}{B}{R},8.0,Sorcery // Sorcery,,,"['B', 'R', 'U']","['B', 'R', 'U']",
Sedge Scorpion,{G},1.0,Creature — Scorpion,1,1,['G'],['G'],
Lochmere Serpent,{4}{U}{B},6.0,Creature — Serpent,7,7,"['B', 'U']","['B', 'U']",
Ainok Survivalist,{1}{G},2.0,Creature — Dog Shaman,2,1,['G'],['G'],
Metathran Zombie,{1}{U},2.0,Creature — Metathran Zombie,1,1,['U'],"['B', 'U']",
Forest,,0.0,Basic Land — Forest,,,[],['G'],['G']
Smog Elemental,{4}{B}{B},6.0,Creature — Elemental,3,3,['B'],['B'],
Fog,{G},1.0,Instant,,,['G'],['G'],
Mount Velus Manticore,{2}{R}{R},4.0,Enchantment Creature — Manticore,3,4,['R'],['R'],
Saltfield Recluse,{2}{W},3.0,Creature — Human Rebel Cleric,1,2,['W'],['W'],
Savage Twister,{X}{R}{G},2.0,Sorcery,,,"['G', 'R']","['G', 'R']",
"Mavren Fein, Dusk Apostle",{2}{W},3.0,Legendary Creature — Vampire Cleric,2,2,['W'],['W'],
Wall of Stone,{1}{R}{R},3.0,Creature — Wall,0,8,['R'],['R'],
Spirit of the Hearth,{4}{W}{W},6.0,Creature — Cat Spirit,4,5,['W'],['W'],
Charmed Stray,{W},1.0,Creature — Cat,1,1,['W'],['W'],
Lammastide Weave,{1}{G},2.0,Instant,,,['G'],['G'],
Thran Dynamo,{4},4.0,Artifact,,,[],[],['C']
Underdark Beholder,{4}{B}{B},6.0,Creature — Beholder,6,6,['B'],['B'],
Sprouting Renewal,{2}{G},3.0,Sorcery,,,['G'],['G'],
Lithoform Engine,{4},4.0,Legendary Artifact,,,[],[],
Goblin Warchief,{1}{R}{R},3.0,Creature — Goblin Warrior,2,2,['R'],['R'],
Seasons Past,{4}{G}{G},6.0,Sorcery,,,['G'],['G'],
General Kudro of Drannith,{1}{W}{B},3.0,Legendary Creature — Human Soldier,3,3,"['B', 'W']","['B', 'W']",
Soulsworn Jury,{2}{W},3.0,Creature — Spirit,1,4,['W'],"['U', 'W']",
Nature's Lore,{1}{G},2.0,Sorcery,,,['G'],['G'],
Crested Sunmare,{3}{W}{W},5.0,Creature — Horse,5,5,['W'],['W'],
Sejiri Steppe,,0.0,Land,,,[],['W'],['W']
"Tergrid, God of Fright // Tergrid's Lantern",,5.0,Legendary Creature — God // Legendary Artifact,,,,['B'],
"Haakon, Stromgald Scourge Avatar",,0.0,Vanguard,,,[],[],
Faerie Mechanist,{3}{U},4.0,Artifact Creature — Faerie Artificer,2,2,['U'],['U'],
Obstinate Baloth,{2}{G}{G},4.0,Creature — Beast,4,4,['G'],['G'],
Wing Splicer,{3}{U},4.0,Creature — Phyrexian Human Artificer,1,1,['U'],['U'],
Righteous Authority,{3}{W}{U},5.0,Enchantment — Aura,,,"['U', 'W']","['U', 'W']",
Headstrong Brute,{2}{R},3.0,Creature — Orc Pirate,3,3,['R'],['R'],
Mizzix's Mastery,{3}{R},4.0,Sorcery,,,['R'],['R'],
The Bloodsky Massacre,{1}{B}{R},3.0,Enchantment — Saga,,,"['B', 'R']","['B', 'R']",['R']
Reaper King Avatar,,0.0,Vanguard,,,[],[],
Pit Spawn,{4}{B}{B}{B},7.0,Creature — Demon,6,4,['B'],['B'],
Sakura-Tribe Elder,{1}{G},2.0,Creature — Snake Shaman,1,1,['G'],['G'],
Vesper Ghoul,{2}{B},3.0,Creature — Zombie Druid,1,1,['B'],['B'],"['B', 'G', 'R', 'U', 'W']"
Goblin Mountaineer,{R},1.0,Creature — Goblin Scout,1,1,['R'],['R'],
Aether Sting,{3}{R},4.0,Enchantment,,,['R'],['R'],
Skirsdag Cultist,{2}{R}{R},4.0,Creature — Human Shaman,2,2,['R'],['R'],
Cone of Flame,{3}{R}{R},5.0,Sorcery,,,['R'],['R'],
Bane of Progress,{4}{G}{G},6.0,Creature — Elemental,2,2,['G'],['G'],
Blood on the Snow,{4}{B}{B},6.0,Snow Sorcery,,,['B'],['B'],
Blossom Dryad,{2}{G},3.0,Creature — Dryad,2,2,['G'],['G'],
Maze of Ith,,0.0,Land,,,[],[],
Basalt Monolith,{3},3.0,Artifact,,,[],[],['C']
Scab-Clan Mauler,{R}{G},2.0,Creature — Human Berserker,1,1,"['G', 'R']","['G', 'R']",
Warstorm Surge,{5}{R},6.0,Enchantment,,,['R'],['R'],
Unsummon,{U},1.0,Instant,,,['U'],['U'],
Rampaging Baloths,{4}{G}{G},6.0,Creature — Beast,6,6,['G'],['G'],
Arashin War Beast,{5}{G}{G},7.0,Creature — Beast,6,6,['G'],['G'],
Unflinching Courage,{1}{G}{W},3.0,Enchantment — Aura,,,"['G', 'W']","['G', 'W']",
Meren of Clan Nel Toth,{2}{B}{G},4.0,Legendary Creature — Human Shaman,3,4,"['B', 'G']","['B', 'G']",
Angel of Sanctions,{3}{W}{W},5.0,Creature — Angel,3,4,['W'],['W'],
Wall of Water,{1}{U}{U},3.0,Creature — Wall,0,5,['U'],['U'],
Beck // Call,{G}{U} // {4}{W}{U},8.0,Sorcery // Sorcery,,,"['G', 'U', 'W']","['G', 'U', 'W']",
Gaea's Bounty,{2}{G},3.0,Sorcery,,,['G'],['G'],
Suffocating Fumes,{2}{B},3.0,Instant,,,['B'],['B'],
Tranquil Thicket,,0.0,Land,,,[],['G'],['G']
Roar of Jukai,{2}{G},3.0,Instant — Arcane,,,['G'],['G'],
Junk Winder,{5}{U}{U},7.0,Creature — Serpent,5,6,['U'],['U'],
Prey's Vengeance,{G},1.0,Instant,,,['G'],['G'],
Lost Soul,{1}{B}{B},3.0,Creature — Spirit Minion,2,1,['B'],['B'],
"Ertai, the Corrupted",{2}{W}{U}{B},5.0,Legendary Creature — Phyrexian Human Wizard,3,4,"['B', 'U', 'W']","['B', 'U', 'W']",
Charging Rhino,{3}{G}{G},5.0,Creature — Rhino,4,4,['G'],['G'],
Swamp,,0.0,Basic Land — Swamp,,,[],['B'],['B']
Gilded Goose,{G},1.0,Creature — Bird,0,2,['G'],['G'],"['B', 'G', 'R', 'U', 'W']"
Solve the Equation,{2}{U},3.0,Sorcery,,,['U'],['U'],
Shinen of Fury's Fire,{2}{R},3.0,Creature — Spirit,2,1,['R'],['R'],
Suncrusher,{9},9.0,Artifact Creature — Construct,3,3,[],[],
Opt,{U},1.0,Instant,,,['U'],['U'],
Elspeth Conquers Death,{3}{W}{W},5.0,Enchantment — Saga,,,['W'],['W'],
Spirit,,0.0,Token Creature — Spirit,1,1,['W'],['W'],
Whisperwood Elemental,{3}{G}{G},5.0,Creature — Elemental,4,4,['G'],['G'],
Squirrel,,0.0,Token Creature — Squirrel,1,1,['G'],['G'],
Death Baron,{1}{B}{B},3.0,Creature — Zombie Wizard,2,2,['B'],['B'],
Shimmering Wings,{U},1.0,Enchantment — Aura,,,['U'],['U'],
Tidings,{3}{U}{U},5.0,Sorcery,,,['U'],['U'],
Harbinger of the Hunt,{3}{R}{G},5.0,Creature — Dragon,5,3,"['G', 'R']","['G', 'R']",
Screams of the Damned,{3}{B}{B},5.0,Enchantment,,,['B'],['B'],
Red Ward,{W},1.0,Enchantment — Aura,,,['W'],['W'],
By Force,{X}{R},1.0,Sorcery,,,['R'],['R'],
Fumarole,{3}{B}{R},5.0,Sorcery,,,"['B', 'R']","['B', 'R']",
Kemba's Skyguard,{1}{W}{W},3.0,Creature — Cat Knight,2,2,['W'],['W'],
Callous Dismissal,{1}{U},2.0,Sorcery,,,['U'],['U'],
Wild Swing,{3}{R},4.0,Sorcery,,,['R'],['R'],
Old-Growth Dryads,{G},1.0,Creature — Dryad,3,3,['G'],['G'],
Goblin,,0.0,Token Creature — Goblin,1,1,['R'],['R'],
Jungle Shrine,,0.0,Land,,,[],"['G', 'R', 'W']","['G', 'R', 'W']"
Musician,{2}{U},3.0,Creature — Human Wizard,1,3,['U'],['U'],
Charmed Griffin,{3}{W},4.0,Creature — Griffin,3,3,['W'],['W'],
